CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	 2006	 2005
Thu nhập khác###Other incomes	6728	5498	37482	7987	5668	20497	3063	34393	2558	4505	21963	7060	17381	3437	6307	2423	5684	14827	6548	3729	2638	2657	36582	-52812	15292	46172	29940	9946	6965	4187	3349	451	12025	4102	3654	1930	1258	14264	2874	4126	385	2585	11533	-40450	40755	19336	7684	64817	53992	7117	1159	2680	11937	6610	-16384	13890	7821	40911	7665	12603	22621	459	13891	13497	238	9754	6648
Chi phí khác###Other Expenses	2364	658	8828	3488	2828	1302	1146	23693	12364	6485	2654	1067	16228	5923	3818	404	1717	6284	3695	1089	1146	783	6153	3331	1932	-2737	4311	4054	4443	2005	1634	213	5190	3197	2313	899	111	2654	466	1965	36	28	2174	6514	4564	5153	1319	31659	24051	3795	621	1936	8486	7096	-9574	10187	52	15779	10495	73	7570	77	6571	6152	97	3313	949
Lợi nhuận khác###Other profits	4364	4840	28654	4499	2841	19195	1918	10701	-9806	-1981	19309	5993	1152	-2485	2489	2019	3967	8543	2854	2640	1492	1874	30429	-56143	13360	48909	25629	5892	2522	2182	1715	238	6835	904	1341	1032	1147	11610	2408	2161	349	2557	9358	-46964	36191	14184	6365	33158	29941	3322	538	744	3452	-486	-6810	3703	7770	25133	-2830	12529	15051	382	7319	7344	141	6441	5699
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	35644	35558	243868	98119	34635	43405	72905	301644	75629	41794	55839	128507	270001	38007	75774	64472	109055	189309	91079	31177	32815	41543	190281	16338	44167	94334	37707	256199	62067	91698	35941	52451	408624	153617	81258	98379	78336	588719	183815	173070	100773	113207	871211	374801	250100	143364	169021	433410	195386	131990	61932	54196	220723	106930	65552	24415	27671	234044	40946	104839	46381	44086	232713	71814	52936	204663	152283
Chi phí thuế TNDN###Corporate Income Tax Expenses	10906	8210	52703	20728	8138	9348	15929	66605	16708	9259	12666	27917	45147	4920	12410	11491	17995	28250	10055	3510	2242	12914	34633	9989	2448	12159	10029	42253	9606	18419	8499	5743	40766	13873	5199	12181	0	50459	0	0	0	14732	68248	25102	26633	18787	16124	38901	18929	11099	4131	5648	9964	1865	22	5099	0	0	0	0	0	0	673	0	0	55242	40922
Chi phí thuế TNDN###Corporate Income Tax Expenses	10034	8210	53321	20509	8138	9127	15929	67438	16856	9068	13122	27917	45756	4978	12308	11470	17933	28405	9776	3510	5122	10323	37249	6815	6402	15871	8158	39860	9606	18419	8499	5745	37562	13871	5199	12188	7998	50459	14836	8180	11956	14732	68248	25102	26633	18720	16124	38901	18929	11099	6614	5648	9964	1865	22	5099	0	0	0	0	0	0	673	0	0	55242	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	872	0	-617	219	0	221	0	-833	-149	191	-456	0	-609	-57	102	21	62	-155	280	0	-2880	2591	-2616	3174	-3955	-3712	1871	2394	0	0	0	-3	3204	2	0	-7	7	0	-135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	23545	33154	199429	80062	31551	37925	57363	234728	65030	29877	43173	97902	236564	36980	66475	57016	94242	168668	81024	27666	30572	28629	166743	6349	41720	82175	27678	214338	52461	73279	27442	46708	367858	139744	76059	86197	70331	538259	169114	164889	88818	98475	802964	349700	223467	124643	152897	394508	176457	120891	55318	48549	210760	105065	65530	19316	27671	234044	40946	104839	46381	44086	232041	71814	52936	149421	111361
---Cac Chi So Tai Chinh---																																																																			
EBITDA	0.12	0.22	0.88	0.88	0.84	0.82	0.53	0.40	0.40	0.36	0.40	0.56	0.43	0.43	0.92	0.51	0.43	0.49	0.49	0.31	0.43	0.32	0.28	0.28	0.39	0.32	0.53	0.47	0.47	0.35	0.51	0.07	-0.01	-0.01	-0.08	0.02	0.28	0.24	0.24	0.35	0.21	0.05	0.14	0.14	0.18	0.33	0.54	0.60	0.60	1.16	1.19	1.23	1.25	1.25	1.07	1.00	0.93	0.91	0.91	1.07	1.22	1.20	2.63	2.63	0.00	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	39.20	34.65	39.25	39.25	33.50	38.20	32.01	27.51	27.51	26.80	26.29	26.97	26.29	26.29	26.95	27.29	24.13	22.21	22.21	19.60	19.61	18.20	19.05	19.05	16.29	16.14	17.46	18.45	18.45	20.18	18.13	19.30	20.57	20.57	19.42	20.61	22.93	21.91	21.91	20.85	19.67	20.04	17.02	17.02	18.24	20.01	20.69	23.65	23.65	19.87	21.56	20.54	19.06	19.06	19.72	14.00	9.99	9.99	9.99	19.14	16.21	14.69	25.01	25.01	0.00	0.00	0.00
