CAN DOI KE TOAN	Q2 2020	Q1 2020	 2019	Q4 2019	Q3 2019	Q2 2019	Q1 2019	 2018	Q4 2018	Q3 2018	Q2 2018	Q1 2018	 2017	Q4 2017	Q3 2017	Q2 2017	Q1 2017	 2016	Q4 2016	Q3 2016	Q2 2016	Q1 2016	 2015	Q4 2015	Q3 2015	Q2 2015	Q1 2015	 2014	Q4 2014	Q3 2014	Q2 2014	Q1 2014	 2013	Q4 2013	Q3 2013	Q2 2013	Q1 2013	 2012	Q4 2012	Q3 2012	Q2 2012	Q1 2012	 2011	Q4 2011	Q3 2011	Q2 2011	Q1 2011	 2010	Q4 2010	Q3 2010	Q2 2010	Q1 2010	 2009	Q4 2009	Q3 2009	Q2 2009	Q1 2009	 2008	Q4 2008	Q3 2008	Q2 2008	Q1 2008	 2007	Q4 2007	Q3 2007	Q2 2007	Q1 2007	 2006	 2005
Chi phí khác###Other Expenses	105	459	763	357	133	187	86	964	250	596	94	24	2755	850	872	1031	2	384	724	25	23	1	4925	4358	87	89	390	50	0	38	6	6	35	15	18	2	4	31	26	5	0	0	164	23	22	5	113	83	69	0	14	0	213	3	67	0	143	241	3	66	0	170	51	22	0	0	0	378	283
Lợi nhuận khác###Other profits	-570	415	921	279	236	462	-56	1547	1118	-182	57	553	140	-829	1511	-569	12	858	-201	317	9	343	1451	366	1197	-1	-111	337	335	-26	13	16	433	297	104	179	-2	943	790	99	9	45	152	50	16	10	76	38	-56	90	-5	9	207	48	0	24	135	299	59	-7	129	156	138	254	19	36	38	-194	-259
Tổng lợi nhuận kế toán trước thuế###Total profit before tax	12772	9225	44987	7763	14620	10899	11863	43851	14629	8342	10863	10285	43511	13936	7843	12021	10505	40118	11620	10793	10999	8252	36527	11026	9112	8885	7346	32014	8535	10809	5953	6717	21832	1701	6512	7546	6231	28191	7617	7269	6543	6788	25442	4947	6752	7218	6293	39720	9155	16431	7392	6742	28550	6379	9044	8215	4912	19923	5947	7138	3900	4603	22636	8866	5847	3404	9275	13183	8057
Chi phí thuế TNDN###Corporate Income Tax Expenses	3458	1884	9075	2093	2441	2162	2379	9528	2968	2191	2299	2070	10346	2570	1621	3884	2271	8474	2203	1987	2122	1804	9699	2090	2161	1877	1932	6965	1724	2270	1393	1579	5674	252	1872	0	0	4180	0	0	0	915	3042	720	760	878	777	5809	1126	3007	901	837	3482	750	1124	1004	605	2743	833	999	545	644	0	0	0	0	0	0	2259
Chi phí thuế TNDN###Corporate Income Tax Expenses	3458	1884	9075	2093	2441	2162	2379	9528	2504	2191	2299	2070	10346	2570	1621	3884	2271	8474	2203	1987	2122	1804	9699	2090	2161	1877	1932	6965	1724	2270	1393	1579	5674	252	1872	1730	1726	4180	1083	964	779	915	3042	720	760	878	777	5809	1126	3007	901	837	3482	750	1124	1004	605	2743	833	999	546	644	0	0	0	0	0	0	0
Chi phí thuế TNDN###Corporate Income Tax Expenses	0	0	0	0	0	0	0	0	463	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lợi nhuận sau thuế thu nhập doanh nghiệp###Profit after Corporate Income Tax	8423	7241	36797	5923	12318	8972	9741	35116	12287	6225	8564	8238	33856	12270	6448	7925	8001	33110	9417	8806	8877	6448	27232	8936	6951	7008	5414	25397	6812	8539	4560	5138	16158	1449	4641	5816	4504	24012	6534	6305	5937	5873	22400	4227	5992	6339	5516	33911	8029	13424	6491	5905	25068	5629	7920	7211	4308	17180	5115	6139	3354	3958	22636	8866	5847	3404	9275	13183	5797
---Cac Chi So Tai Chinh---																																																																					
EBITDA	0.11	0.16	0.46	0.46	0.01	-0.05	-0.14	-0.15	-0.15	-0.12	-0.16	0.07	0.16	0.16	-0.05	0.27	0.36	1.14	1.14	1.06	-0.50	-0.24	-0.56	-0.56	-0.36	0.35	0.56	0.81	0.81	0.94	0.93	0.91	0.45	0.45	0.39	0.43	0.38	0.50	0.50	0.51	0.59	0.73	0.79	0.79	1.03	1.15	1.39	1.41	1.41	1.22	1.04	0.88	0.79	0.79	0.71	0.70	0.76	0.91	0.91	1.11	1.40	1.28	0.01	0.01	-0.07	-0.10	-0.11	0.00	0.00
Giá giao dịch cuối quý###Last Price of Quarter	31.53	24.47	30.68	30.68	33.46	34.77	38.16	41.56	41.56	45.06	41.35	38.21	36.43	36.43	35.45	29.07	33.30	29.89	29.89	33.90	27.56	28.10	26.25	26.25	22.48	19.96	15.35	14.46	14.46	14.09	10.17	11.03	8.90	8.90	8.56	8.49	7.11	6.60	6.60	6.13	6.15	6.35	5.02	5.02	5.73	5.24	6.56	8.00	8.00	8.57	11.82	7.52	8.24	8.24	8.21	5.07	3.86	4.06	4.06	5.12	4.49	9.15	15.49	15.49	10.97	8.75	15.03	7.48	0.00
